run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__urban_small__baseline1_2p5d_astar__none,flat_scene_001,flat,urban_small,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.6197369998517388,26,25
flat_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,17.692486000214558,26,25
flat_scene_001__standard_offroad__baseline1_2p5d_astar__none,flat_scene_001,flat,standard_offroad,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.6033390000084182,26,25
flat_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,17.183144000227912,26,25
flat_scene_001__mountain_large__baseline1_2p5d_astar__none,flat_scene_001,flat,mountain_large,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.6069070000194188,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,25,54.25637100006497,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.008954668417572975,0.008954668417572975,25,47.04669800003103,26,25
flat_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,mountain_large,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,17.532780000237835,26,25
flat_scene_002__urban_small__baseline1_2p5d_astar__none,flat_scene_002,flat,urban_small,baseline1_2p5d_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.6159080003271811,26,25
flat_scene_002__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_002,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,17.278798000006645,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0068072788417339325,0.0068072788417339325,25,55.41432800009716,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005194608587771654,0.005194608587771654,25,47.245729000223946,26,25
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,25,56.386469999779365,26,25
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0036227006930857897,0.0036227006930857897,25,47.7852270000767,26,25
flat_scene_002__standard_offroad__baseline1_2p5d_astar__none,flat_scene_002,flat,standard_offroad,baseline1_2p5d_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.4739080000035756,26,25
flat_scene_002__standard_offroad__baseline2_manual_risk_weighted_astar__none,flat_scene_002,flat,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,16.696357000000717,26,25
flat_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.010883597657084465,0.010883597657084465,25,55.01447599999665,26,25
flat_scene_002__urban_small__proposed_ml_risk_constrained_astar__compare,flat_scene_002,flat,urban_small,proposed_ml_risk_constrained_astar,compare,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.00901638064533472,0.00901638064533472,25,48.27100200009227,26,25
flat_scene_002__mountain_large__baseline1_2p5d_astar__none,flat_scene_002,flat,mountain_large,baseline1_2p5d_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,1.2309119997553353,26,25
flat_scene_002__mountain_large__baseline2_manual_risk_weighted_astar__none,flat_scene_002,flat,mountain_large,baseline2_manual_risk_weighted_astar,none,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,39.151548000063485,26,25
flat_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.006857235450297594,0.006857235450297594,25,53.67017000025953,26,25
flat_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__compare,flat_scene_002,flat,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.005287558771669865,0.005287558771669865,25,46.523764000085066,26,25
flat_scene_003__urban_small__baseline1_2p5d_astar__none,flat_scene_003,flat,urban_small,baseline1_2p5d_astar,none,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,1.2182390000816667,26,25
flat_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,mountain_large,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,95,207.49253800022416,26,25
flat_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,mountain_large,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0036227006930857897,0.0036227006930857897,65,121.04104399986682,26,25
flat_scene_003__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_003,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,39.17716699970697,26,25
flat_scene_003__standard_offroad__baseline1_2p5d_astar__none,flat_scene_003,flat,standard_offroad,baseline1_2p5d_astar,none,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.9733399997458037,26,25
flat_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.005312595050781965,0.005312595050781965,25,54.73821699979453,26,25
flat_scene_002__mountain_large__proposed_ml_risk_constrained_astar__compare,flat_scene_002,flat,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.00368767068721354,0.00368767068721354,25,46.85243499989156,26,25
