vehicle_id,terrain_class,method,model_tag,count,success_rate,path_length_mean,risk_max_mean,risk_avg_mean,expanded_nodes_mean,planning_time_ms_mean
mountain_large,bumps,baseline1_2p5d_astar,none,3,1.0,10.066325212186465,0.0,0.0,118.66666666666667,2.299286333103131
mountain_large,bumps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.317306593610894,0.48092275176433824,0.26941777580775306,7811.333333333333,6462.588736999957
mountain_large,bumps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.207566467980046,0.1533794403076172,0.08158036606233217,2403.0,9425.475246667096
mountain_large,bumps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.129479964385217,0.18050426741441092,0.10329357971331177,2691.3333333333335,12880.39930766672
mountain_large,bumps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.066325212186465,0.18633912007013956,0.10959890304561039,212.0,378.25952833357707
mountain_large,bumps,proposed_ml_risk_constrained_astar,main,3,1.0,10.066325212186465,0.2042387972275416,0.12165251103362673,212.66666666666666,460.96685733315707
mountain_large,flat,baseline1_2p5d_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,0.7739333332210663
mountain_large,flat,baseline2_manual_risk_weighted_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,31.75126633338247
mountain_large,flat,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.000000149011612,0.003630881430581212,0.003630881430581212,65.0,169.4403003334628
mountain_large,flat,baseline3_ml_risk_weighted_astar,main,3,1.0,10.000000149011612,0.005271468466768662,0.005271468466768662,95.0,291.6252746667851
mountain_large,flat,proposed_ml_risk_constrained_astar,compare,3,1.0,10.000000149011612,0.003630881430581212,0.003630881430581212,25.0,66.44340800009256
mountain_large,flat,proposed_ml_risk_constrained_astar,main,3,1.0,10.000000149011612,0.005271468466768662,0.005271468466768662,25.0,78.8715893331755
mountain_large,lateral_pits,baseline1_2p5d_astar,none,3,1.0,10.174816319064563,0.0,0.0,402.6666666666667,13.49059933333289
mountain_large,lateral_pits,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
mountain_large,lateral_pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.361603534043875,0.38898932933807373,0.19837786545922334,7898.0,25744.301593666325
mountain_large,lateral_pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.336489905507262,0.3519577085971832,0.2076735418045097,8024.333333333333,31813.076295333303
mountain_large,lateral_pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.174816319064563,0.4405900140603383,0.24222331957875007,1212.6666666666667,1129.887155333563
mountain_large,lateral_pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.174816319064563,0.4373343288898468,0.24003436878745346,1216.3333333333333,1313.9363390000653
mountain_large,lateral_slope,baseline1_2p5d_astar,none,3,1.0,10.135545226466713,0.0,0.0,248.0,3.820970000106172
mountain_large,lateral_slope,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
mountain_large,lateral_slope,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.400613775318844,0.40747403105099994,0.21924197069716925,7306.666666666667,23469.39505599994
mountain_large,lateral_slope,baseline3_ml_risk_weighted_astar,main,3,1.0,10.397731545712931,0.36872496207555133,0.2207736025527982,7511.666666666667,28309.392296000016
mountain_large,lateral_slope,proposed_ml_risk_constrained_astar,compare,3,1.0,10.135545226466713,0.4954069455464681,0.30318474525505834,652.0,584.2266230000254
mountain_large,lateral_slope,proposed_ml_risk_constrained_astar,main,3,1.0,10.135545226466713,0.46991612513860065,0.30767693105000476,659.6666666666666,686.3171719999931
mountain_large,mixed_random,baseline1_2p5d_astar,none,3,1.0,10.260866235079495,0.0,0.0,432.6666666666667,7.165542333192813
mountain_large,mixed_random,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
mountain_large,mixed_random,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.519505352004511,0.5687086582183838,0.2768911704299006,6863.0,21143.472005499916
mountain_large,mixed_random,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.368872624486947,0.5552214980125427,0.3019446219460239,7411.0,23002.630866999425
mountain_large,mixed_random,proposed_ml_risk_constrained_astar,compare,3,0.6666666666666666,10.293677618065656,0.5667893588542938,0.4235351535351367,1114.0,979.0758869999081
mountain_large,mixed_random,proposed_ml_risk_constrained_astar,main,3,0.6666666666666666,10.282671034924164,0.550850510597229,0.39110071236198757,1238.0,1221.8478815002527
mountain_large,pits,baseline1_2p5d_astar,none,3,1.0,10.054104035302409,0.0,0.0,127.0,2.240864666722094
mountain_large,pits,baseline2_manual_risk_weighted_astar,none,3,1.0,10.286401460490028,0.3900061809709148,0.28325026436997963,10683.0,8167.560625666738
mountain_large,pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.17640952215733,0.1441432237625122,0.08342844970196996,3646.6666666666665,18574.0767323335
mountain_large,pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.197258718241983,0.16953992346922556,0.0957489177833785,4225.0,23871.734735333273
mountain_large,pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.054104035302409,0.19795311987400055,0.10971173126830858,265.6666666666667,540.2332956665911
mountain_large,pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.054104035302409,0.19593518475691477,0.1203421409680344,256.3333333333333,644.0823623333927
mountain_large,slope_bumps,baseline1_2p5d_astar,none,3,1.0,10.20703154003573,0.0,0.0,354.3333333333333,35.46168233363763
mountain_large,slope_bumps,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
mountain_large,slope_bumps,baseline3_ml_risk_weighted_astar,compare,3,0.6666666666666666,10.371147147980052,0.4912710636854172,0.26052985546855445,8091.0,31676.234963999832
mountain_large,slope_bumps,baseline3_ml_risk_weighted_astar,main,3,0.6666666666666666,10.324250288276748,0.4646614193916321,0.27670678982241315,8218.5,37100.148376000565
mountain_large,slope_bumps,proposed_ml_risk_constrained_astar,compare,3,0.6666666666666666,10.30942533947517,0.5290387123823166,0.4001103982815599,1376.5,1744.1652845000135
mountain_large,slope_bumps,proposed_ml_risk_constrained_astar,main,3,1.0,10.265886274195799,0.504267563422521,0.3611423054522038,747.0,1441.4120559998385
mountain_large,steps,baseline1_2p5d_astar,none,3,1.0,10.038384658017465,0.0,0.0,63.666666666666664,1.7609133333280624
mountain_large,steps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.34283150929233,0.4416973268140167,0.25787446097362404,9759.0,10388.543496666443
mountain_large,steps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.145304586832035,0.12591947863499323,0.07238757498379997,2697.3333333333335,8938.287056666772
mountain_large,steps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.159460313833582,0.1231783131758372,0.08318912680635938,3045.6666666666665,11500.649990666716
mountain_large,steps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.038384658017465,0.1459644834200541,0.08873051981116065,82.33333333333333,151.7831156666034
mountain_large,steps,proposed_ml_risk_constrained_astar,main,3,1.0,10.038384658017465,0.17641955117384592,0.10527244023321054,81.66666666666667,179.1164270001294
mountain_large,uniform_slope,baseline1_2p5d_astar,none,3,1.0,10.260648800324285,0.0,0.0,552.3333333333334,16.009604333097133
mountain_large,uniform_slope,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
mountain_large,uniform_slope,baseline3_ml_risk_weighted_astar,compare,3,0.3333333333333333,10.35604584751169,0.5365675687789917,0.2601594999859814,8457.0,19272.023796000212
mountain_large,uniform_slope,baseline3_ml_risk_weighted_astar,main,3,0.3333333333333333,10.404774936924655,0.5339512825012207,0.2841198398604265,9455.0,22136.027197999738
mountain_large,uniform_slope,proposed_ml_risk_constrained_astar,compare,3,0.3333333333333333,10.480150893977513,0.5822434425354004,0.41027664162319416,3220.0,4045.0803029998497
mountain_large,uniform_slope,proposed_ml_risk_constrained_astar,main,3,0.3333333333333333,10.480150893977513,0.5165491700172424,0.3714779137585856,3191.0,4687.171623999802
standard_offroad,bumps,baseline1_2p5d_astar,none,3,1.0,10.066325212186465,0.0,0.0,118.66666666666667,2.2069233335363
standard_offroad,bumps,baseline2_manual_risk_weighted_astar,none,3,1.0,10.314179526637332,0.5085238536878948,0.2701373920941635,7796.666666666667,6527.814400333379
standard_offroad,bumps,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.200908387361112,0.1866381218036016,0.10261819290225856,3175.0,9527.26432366641
standard_offroad,bumps,baseline3_ml_risk_weighted_astar,main,3,1.0,10.174291782080456,0.19464523096879324,0.12017260810116753,3561.0,13006.336633333376
standard_offroad,bumps,proposed_ml_risk_constrained_astar,compare,3,1.0,10.066325212186465,0.21399691700935364,0.13149808268812185,212.66666666666666,317.7643326666839
standard_offroad,bumps,proposed_ml_risk_constrained_astar,main,3,1.0,10.066325212186465,0.2321185568968455,0.14804317387408786,221.33333333333334,365.58171366656705
standard_offroad,flat,baseline1_2p5d_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,0.6835289999192659
standard_offroad,flat,baseline2_manual_risk_weighted_astar,none,3,1.0,10.000000149011612,0.0,0.0,25.0,24.186977000075178
standard_offroad,flat,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.000000149011612,0.005207456182688475,0.005207456182688475,93.66666666666667,173.27928900022016
standard_offroad,flat,baseline3_ml_risk_weighted_astar,main,3,1.0,10.000000149011612,0.006814030619959037,0.006814030619959037,118.0,257.31706066668875
standard_offroad,flat,proposed_ml_risk_constrained_astar,compare,3,1.0,10.000000149011612,0.005207456182688475,0.005207456182688475,25.0,66.73704566674132
standard_offroad,flat,proposed_ml_risk_constrained_astar,main,3,1.0,10.000000149011612,0.006814030619959037,0.006814030619959037,25.0,77.83495033345389
standard_offroad,lateral_pits,baseline1_2p5d_astar,none,3,1.0,10.174816319064563,0.0,0.0,402.6666666666667,6.503099333410016
standard_offroad,lateral_pits,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
standard_offroad,lateral_pits,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.26238566248673,0.41356245676676434,0.23472402863780487,8718.0,28258.428594000183
standard_offroad,lateral_pits,baseline3_ml_risk_weighted_astar,main,3,1.0,10.318139051270627,0.4291653831799825,0.23801013428666443,8940.666666666666,34723.86208099973
standard_offroad,lateral_pits,proposed_ml_risk_constrained_astar,compare,3,1.0,10.174816319064563,0.43852583567301434,0.2638489316893126,1227.6666666666667,1815.3298900000057
standard_offroad,lateral_pits,proposed_ml_risk_constrained_astar,main,3,1.0,10.174816319064563,0.4571944971879323,0.269689993542427,1238.3333333333333,1987.269621666807
standard_offroad,lateral_slope,baseline1_2p5d_astar,none,3,1.0,10.135545226466713,0.0,0.0,248.0,5.397487000057784
standard_offroad,lateral_slope,baseline2_manual_risk_weighted_astar,none,3,0.0,nan,nan,nan,nan,nan
standard_offroad,lateral_slope,baseline3_ml_risk_weighted_astar,compare,3,1.0,10.33521196541061,0.4513638913631439,0.24805941307368998,8134.333333333333,26180.808594999995
standard_offroad,lateral_slope,baseline3_ml_risk_weighted_astar,main,3,1.0,10.355944157872118,0.43909483154614765,0.2504250306667802,8006.666666666667,29850.978577999736
standard_offroad,lateral_slope,proposed_ml_risk_constrained_astar,compare,3,1.0,10.135545226466713,0.5052113036314646,0.32474631246601465,681.0,567.2466863332678
