run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
custom_diag_random_scene_001__urban_small__baseline1_2p5d_astar__none,custom_diag_random_scene_001,custom_diag_random,urban_small,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.794073265247846,0.0,0.0,609,8.987118999357335,33,32
custom_diag_random_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_001,custom_diag_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.507587373242114,0.42895549070090055,0.08408728782196909,24917,14778.635155000302,37,36
custom_diag_random_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_001,custom_diag_random,urban_small,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,14.677497930890187,0.2249559611082077,0.05881173319641005,19636,57293.27429700061,35,34
custom_diag_random_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_001,custom_diag_random,urban_small,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,14.095220580788851,0.3672609031200409,0.15659379959831457,49216,42326.723164000214,33,32
custom_diag_random_scene_001__standard_offroad__baseline1_2p5d_astar__none,custom_diag_random_scene_001,custom_diag_random,standard_offroad,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.794073265247846,0.0,0.0,609,7.674897000470082,33,32
custom_diag_random_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_001,custom_diag_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.413169453333987,0.4004675586752239,0.0945427166009356,25827,15312.767534000159,37,36
custom_diag_random_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_001,custom_diag_random,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,14.396902310539929,0.1301455795764923,0.042770700279369224,16516,48944.2930109999,34,33
custom_diag_random_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_001,custom_diag_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.794073265247846,0.37081319093704224,0.20518329540590244,30403,28677.32683199938,33,32
custom_diag_random_scene_001__mountain_large__baseline1_2p5d_astar__none,custom_diag_random_scene_001,custom_diag_random,mountain_large,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.794073265247846,0.0,0.0,609,8.308631999170757,33,32
custom_diag_random_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_001,custom_diag_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.128948843657193,0.40809776855721364,0.10422237696854626,26306,15398.516957000538,36,35
custom_diag_random_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_001,custom_diag_random,mountain_large,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,14.356393429996164,0.111545629799366,0.03852731821463291,15427,44910.93470099986,34,33
custom_diag_random_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_001,custom_diag_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.794073265247846,0.3338640332221985,0.17956076830650994,23369,22532.49302199947,33,32
custom_diag_random_scene_002__urban_small__baseline1_2p5d_astar__none,custom_diag_random_scene_002,custom_diag_random,urban_small,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.776714682661213,0.0,0.0,708,8.81665300039458,33,32
custom_diag_random_scene_002__urban_small__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_002,custom_diag_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.148569204511409,0.5985245878497759,0.11614190153089715,21748,12722.109317001014,36,35
custom_diag_random_scene_002__urban_small__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_002,custom_diag_random,urban_small,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,13.947724652109239,0.3293038010597229,0.09398295085009666,12138,35078.28154800154,33,32
custom_diag_random_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_002,custom_diag_random,urban_small,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.785534005214382,0.35601097345352173,0.14247837112420111,10645,10071.501876000184,33,32
custom_diag_random_scene_002__standard_offroad__baseline1_2p5d_astar__none,custom_diag_random_scene_002,custom_diag_random,standard_offroad,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.776714682661213,0.0,0.0,708,9.785647000171593,33,32
custom_diag_random_scene_002__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_002,custom_diag_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.110906869602127,0.5872823467832946,0.11725320457820507,22646,13265.881616000115,36,35
custom_diag_random_scene_002__standard_offroad__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_002,custom_diag_random,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,13.974835820205149,0.23144365847110748,0.0689184982957014,9782,28089.17576100066,33,32
custom_diag_random_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_002,custom_diag_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.79210880915982,0.2894396185874939,0.09519604553328477,7085,6776.3704329991015,33,32
custom_diag_random_scene_002__mountain_large__baseline1_2p5d_astar__none,custom_diag_random_scene_002,custom_diag_random,mountain_large,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.776714682661213,0.0,0.0,708,9.264649999749963,33,32
custom_diag_random_scene_002__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_002,custom_diag_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.110906869602127,0.5626160169818573,0.11670901738482743,22200,13030.899061999662,36,35
custom_diag_random_scene_002__mountain_large__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_002,custom_diag_random,mountain_large,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,13.974835820205149,0.19682876765727997,0.0581989094338404,8218,23995.364983999025,33,32
custom_diag_random_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_002,custom_diag_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.785534005214382,0.26012304425239563,0.08438212115644006,5995,5924.172327999258,33,32
custom_diag_random_scene_003__urban_small__baseline1_2p5d_astar__none,custom_diag_random_scene_003,custom_diag_random,urban_small,baseline1_2p5d_astar,none,0.8,109,12,6,12,109,6,2,1,,13.758907182181513,0.0,0.0,576,7.629353998709121,33,32
custom_diag_random_scene_003__urban_small__baseline2_manual_risk_weighted_astar__none,custom_diag_random_scene_003,custom_diag_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.8,109,12,6,12,109,6,2,1,,15.06578485246096,0.14459658509475135,0.06315959450215358,19620,11460.119201999987,36,35
custom_diag_random_scene_003__urban_small__baseline3_ml_risk_weighted_astar__main,custom_diag_random_scene_003,custom_diag_random,urban_small,baseline3_ml_risk_weighted_astar,main,0.8,109,12,6,12,109,6,2,1,,14.250487001541796,0.17486979067325592,0.05737592352242206,18267,53939.03854599921,33,32
custom_diag_random_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,custom_diag_random_scene_003,custom_diag_random,urban_small,proposed_ml_risk_constrained_astar,main,0.8,109,12,6,12,109,6,2,1,,13.854245215904081,0.36882174015045166,0.13259528140980045,17278,16359.369191999576,33,32
