run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
custom_scattered_scene_001__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,8.156314001098508,33,32
custom_scattered_scene_001__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,15.466967000975274,33,32
custom_scattered_scene_001__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,16.597416999502457,33,32
custom_scattered_scene_002__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,8.082207999905222,33,32
custom_scattered_scene_002__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,8.867775000908296,33,32
custom_scattered_scene_002__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,13.9199440000084,33,32
custom_scattered_scene_003__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,28.071757000361686,33,32
custom_scattered_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_001,custom_scattered_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.736237162132284,0.2587090730667114,0.10186172961904938,5938,9336.95114799957,33,32
custom_scattered_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_001,custom_scattered_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.736237162132284,0.3090711534023285,0.12097559379726301,7537,11016.621464001219,33,32
custom_scattered_scene_003__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,25.158430998999393,33,32
custom_scattered_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_002,custom_scattered_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.26583290100097656,0.10454014484899557,6638,14108.710925998821,33,32
custom_scattered_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_002,custom_scattered_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.2985803186893463,0.12586352260019332,8948,17721.465370999795,33,32
custom_scattered_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_001,custom_scattered_random,urban_small,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.737041460580885,0.4072806239128113,0.18296607077149243,11469,18475.928322999607,33,32
custom_scattered_scene_003__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,25.24966700002551,33,32
custom_scattered_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.182620792466064,0.5064783062164983,0.2610823623559764,17466,23095.712660000572,33,32
custom_scattered_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_002,custom_scattered_random,urban_small,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.38666993379592896,0.19471948525798172,16035,23796.59849000018,33,32
custom_scattered_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.098668397618443,0.6907412078941153,0.29914291062633275,19583,25626.89229800162,33,32
custom_scattered_scene_004__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_004,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.0,0.0,996,31.60588100035966,33,32
custom_scattered_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.05279932940663,0.6696640578586431,0.3097175635561792,19774,26304.80187899957,33,32
custom_scattered_scene_002__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.991593200554785,0.511904585929144,0.2420025066089423,17542,27161.71681600099,33,32
custom_scattered_scene_002__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.948325507884299,0.4483587845627751,0.271081259973051,19306,28625.167787000464,33,32
custom_scattered_scene_004__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_004,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.0,0.0,996,30.539209001290146,33,32
custom_scattered_scene_002__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.948314648925084,0.43684528657190863,0.2780561325031332,19515,31531.20307500103,33,32
custom_scattered_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.873650741303116,0.1891425997018814,0.08295863576303922,7252,33353.7919670016,33,32
custom_scattered_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_003,custom_scattered_random,urban_small,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.908720951190878,0.3881519138813019,0.17495207275753108,22486,30948.8556590004,33,32
custom_scattered_scene_004__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_004,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.0,0.0,996,37.62139799982833,33,32
custom_scattered_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.88384180294642,0.19257479906082153,0.09733952146488782,8151,42519.60616999895,33,32
custom_scattered_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_003,custom_scattered_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.818027558332226,0.2618512511253357,0.1299171279444577,15023,20933.097678000195,33,32
custom_scattered_scene_003__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_003,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.299327222688255,0.8400445421536764,0.32956380085316545,28618,46232.96547700011,34,33
custom_scattered_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_003,custom_scattered_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.818027558332226,0.3109740912914276,0.14894126479995284,16846,30480.42822199932,33,32
custom_scattered_scene_002__mountain_large__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_002,custom_scattered_random,mountain_large,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.802035250921515,0.18992140889167786,0.08238465532350873,10195,57413.650414000585,33,32
custom_scattered_scene_002__standard_offroad__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_002,custom_scattered_random,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.802035250921515,0.20970682799816132,0.1009317219757192,11706,58080.72064599946,33,32
custom_scattered_scene_003__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_003,custom_scattered_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.257879104444406,0.7751298533929957,0.3578118958207252,30871,47515.49301799969,34,33
custom_scattered_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_001,custom_scattered_random,urban_small,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.919797411278442,0.39559802412986755,0.14825392912676433,11361,60577.068058000805,33,32
custom_scattered_scene_003__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_003,custom_scattered_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.257879104444406,0.684299922903024,0.35857200670533423,30390,43353.75650499918,34,33
custom_scattered_scene_004__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_004,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.583323950610097,0.6386446422409444,0.2874577202918801,28500,39102.43870500017,34,33
custom_scattered_scene_004__urban_small__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_004,custom_scattered_random,urban_small,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.42966851592063904,0.2633673148888688,28530,38198.135410999384,33,32
custom_scattered_scene_004__mountain_large__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_004,custom_scattered_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.2937149107456207,0.16370060952092014,17897,24181.46997599979,33,32
