run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
custom_scattered_scene_001__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,15.05715399980545,33,32
custom_scattered_scene_001__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,13.943517998995958,33,32
custom_scattered_scene_001__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.726635293454414,0.0,0.0,497,14.761611999347224,33,32
custom_scattered_scene_002__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,7.33467400095833,33,32
custom_scattered_scene_002__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,8.649338000395801,33,32
custom_scattered_scene_002__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_002,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.674020363830543,0.0,0.0,226,8.895906999896397,33,32
custom_scattered_scene_003__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,28.794956000638194,33,32
custom_scattered_scene_002__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.991593200554785,0.511904585929144,0.2420025066089423,17542,24485.906444000648,33,32
custom_scattered_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,custom_scattered_scene_003,custom_scattered_random,urban_small,proposed_ml_risk_constrained_astar,main,0.800000011920929,109,12,6,12,109,6,2,0,max_expansions_or_no_path,nan,nan,nan,147,724.5891439997649,0,0
custom_scattered_scene_003__standard_offroad__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,standard_offroad,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,24.513276999641676,33,32
custom_scattered_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.182620792466064,0.5064783062164983,0.2610823623559764,17466,25535.639281999465,33,32
custom_scattered_scene_002__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.948314648925084,0.43684528657190863,0.2780561325031332,19515,28335.80357199935,33,32
custom_scattered_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.098668397618443,0.6907412078941153,0.29914291062633275,19583,30153.75303699875,33,32
custom_scattered_scene_002__standard_offroad__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_002,custom_scattered_random,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.948325507884299,0.4483587845627751,0.271081259973051,19306,29975.398229998973,33,32
custom_scattered_scene_003__mountain_large__baseline1_2p5d_astar__none,custom_scattered_scene_003,custom_scattered_random,mountain_large,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.787674673135529,0.0,0.0,786,28.216609000082826,33,32
custom_scattered_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.05279932940663,0.6696640578586431,0.3097175635561792,19774,31385.362797998823,33,32
custom_scattered_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_001,custom_scattered_random,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.88384180294642,0.19257479906082153,0.09733952146488782,8151,35913.47493899957,33,32
custom_scattered_scene_004__urban_small__baseline1_2p5d_astar__none,custom_scattered_scene_004,custom_scattered_random,urban_small,baseline1_2p5d_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,13.827359575687368,0.0,0.0,996,31.141551999098738,33,32
custom_scattered_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__main,custom_scattered_scene_001,custom_scattered_random,mountain_large,baseline3_ml_risk_weighted_astar,main,0.800000011920929,109,12,6,12,109,6,2,1,,13.873650741303116,0.1891425997018814,0.08295863576303922,7252,37445.1505119996,33,32
custom_scattered_scene_003__urban_small__baseline2_manual_risk_weighted_astar__none,custom_scattered_scene_003,custom_scattered_random,urban_small,baseline2_manual_risk_weighted_astar,none,0.800000011920929,109,12,6,12,109,6,2,1,,14.299327222688255,0.8400445421536764,0.32956380085316545,28618,43730.86409300049,34,33
