run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,25,92.74629199990159,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,25,98.23476600013237,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0068072788417339325,0.0068072788417339325,25,102.0066669998414,26,25
flat_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.010883597657084465,0.010883597657084465,25,91.86909299933177,26,25
uniform_slope_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.124546000639384,0,0
uniform_slope_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.969477000486222,0,0
flat_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.005312595050781965,0.005312595050781965,25,99.0056700002242,26,25
uniform_slope_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.077593000147317,0,0
flat_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.010816257447004318,0.010816257447004318,25,93.83331600020028,26,25
uniform_slope_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,8.359235999705561,0,0
uniform_slope_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,5.050195999501739,0,0
uniform_slope_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,5.173645000468241,0,0
flat_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.006857235450297594,0.006857235450297594,25,129.33844300005148,26,25
flat_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.006777577567845583,0.006777577567845583,25,102.95195500020782,26,25
flat_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.0052367509342730045,0.0052367509342730045,25,92.80823900007817,26,25
steps_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,steps_scene_001,steps,urban_small,proposed_ml_risk_constrained_astar,main,0.5077295899391174,10,60,0,110,60,0,2,1,,10.039131043655676,0.33037373423576355,0.2332428952869156,74,246.23333099953015,26,25
steps_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,steps_scene_002,steps,mountain_large,proposed_ml_risk_constrained_astar,main,0.4965147078037262,10,60,0,110,60,0,2,1,,10.028097497313974,0.197097510099411,0.11372686514207667,42,237.80050400000619,26,25
steps_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,steps_scene_002,steps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.4965147078037262,10,60,0,110,60,0,2,1,,10.028097497313974,0.23519018292427063,0.13450840574144762,42,266.66951299921493,26,25
steps_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,steps_scene_001,steps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5077295899391174,10,60,0,110,60,0,2,1,,10.039131043655676,0.22253857553005219,0.1468775870201687,63,338.10243100015214,26,25
steps_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,steps_scene_002,steps,urban_small,proposed_ml_risk_constrained_astar,main,0.4965147078037262,10,60,0,110,60,0,2,1,,10.028097497313974,0.27394264936447144,0.19057930597263786,42,299.4846020001205,26,25
steps_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,steps_scene_001,steps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5077295899391174,10,60,0,110,60,0,2,1,,10.039131043655676,0.20176810026168823,0.11967990353379737,71,338.28484199966624,26,25
pits_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,pits_scene_002,pits,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5565356612205505,10,60,0,110,60,0,2,1,,10.028241742331483,0.2122517079114914,0.13600577183884205,67,265.22411499990994,26,25
steps_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,steps_scene_003,steps,mountain_large,proposed_ml_risk_constrained_astar,main,0.6985999345779419,10,60,0,110,60,0,2,1,,10.047925433082744,0.13039304316043854,0.08241055202375763,132,427.4194930003432,26,25
steps_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,steps_scene_003,steps,urban_small,proposed_ml_risk_constrained_astar,main,0.6985999345779419,10,60,0,110,60,0,2,1,,10.047925433082744,0.2661176919937134,0.172066559573866,118,577.8991239994866,26,25
pits_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,pits_scene_002,pits,urban_small,proposed_ml_risk_constrained_astar,main,0.5565356612205505,10,60,0,110,60,0,2,1,,10.028241742331483,0.3155706524848938,0.20796061317168207,68,366.3108509999802,26,25
pits_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,pits_scene_001,pits,urban_small,proposed_ml_risk_constrained_astar,main,0.5201796889305115,10,60,0,110,60,0,2,1,,10.0365950371019,0.34909799695014954,0.21054195218007996,101,406.1308079999435,26,25
pits_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,pits_scene_001,pits,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5201796889305115,10,60,0,110,60,0,2,1,,10.0365950371019,0.2053333818912506,0.1332269122559528,104,413.09356199963077,26,25
steps_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,steps_scene_003,steps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.6985999345779419,10,60,0,110,60,0,2,1,,10.047925433082744,0.15202298760414124,0.10246825143375816,119,583.085285999914,26,25
lateral_slope_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_003,lateral_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5139427781105042,10,60,0,110,60,0,2,1,,10.138503888599995,0.4461008608341217,0.27439192430498516,423,786.5228320006281,26,25
pits_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,pits_scene_001,pits,mountain_large,proposed_ml_risk_constrained_astar,main,0.5201796889305115,10,60,0,110,60,0,2,1,,10.0365950371019,0.16374145448207855,0.10600551282605246,106,416.7623299999832,26,25
lateral_slope_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_003,lateral_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5139427781105042,10,60,0,110,60,0,2,1,,10.138503888599995,0.405289888381958,0.25234931825929635,402,785.6796619998931,26,25
pits_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,pits_scene_002,pits,mountain_large,proposed_ml_risk_constrained_astar,main,0.5565356612205505,10,60,0,110,60,0,2,1,,10.028241742331483,0.1824767291545868,0.11000336109398752,68,264.45392000005086,26,25
lateral_slope_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,1,,10.121628053942993,0.5746561884880066,0.40228678840170345,696,986.0102049997295,26,25
lateral_slope_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,1,,10.128934979878101,0.5534297823905945,0.42435276610097467,716,1013.085343000057,26,25
bumps_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,bumps_scene_002,bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.5224663019180298,10,60,0,110,60,0,2,1,,10.061567360111649,0.3167124092578888,0.2073452979745119,137,374.70537399985915,26,25
bumps_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,bumps_scene_002,bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5224663019180298,10,60,0,110,60,0,2,1,,10.061567360111649,0.2210957109928131,0.11770633254828514,130,375.6197639995662,26,25
lateral_slope_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_002,lateral_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.48195257782936096,10,60,0,110,60,0,2,1,,10.146503736857147,0.4419453740119934,0.2893788666427988,904,1211.3295569997717,26,25
lateral_slope_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_002,lateral_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.48195257782936096,10,60,0,110,60,0,2,1,,10.146503736857147,0.4564184844493866,0.33639988072949994,867,1272.6187970001774,26,25
slope_bumps_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_002,slope_bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.5524070858955383,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.4229089999134885,0,0
slope_bumps_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_002,slope_bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5524070858955383,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.146905999732553,0,0
lateral_slope_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_002,lateral_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.48195257782936096,10,60,0,110,60,0,2,1,,10.146503736857147,0.4298022985458374,0.26839468648901443,881,1291.03489299996,26,25
lateral_slope_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_003,lateral_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5139427781105042,10,60,0,110,60,0,2,1,,10.138503888599995,0.4976000487804413,0.33884815580455396,410,1293.787357999463,26,25
bumps_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,bumps_scene_002,bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5224663019180298,10,60,0,110,60,0,2,1,,10.061567360111649,0.23408973217010498,0.14230046391343373,136,517.1089779996692,26,25
lateral_slope_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,1,,10.121628053942993,0.5756615996360779,0.4162968327617311,692,1441.0635029998957,26,25
bumps_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,bumps_scene_003,bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.48253780603408813,10,60,0,110,60,0,2,1,,10.069903589159795,0.3907417356967926,0.2396491580164758,164,484.2040020002969,26,25
bumps_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,bumps_scene_003,bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.48253780603408813,10,60,0,110,60,0,2,1,,10.069903589159795,0.26055896282196045,0.15167074475865627,177,481.4125040002182,26,25
bumps_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,bumps_scene_003,bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.48253780603408813,10,60,0,110,60,0,2,1,,10.069903589159795,0.22748929262161255,0.12581184286478744,178,512.6388389999192,26,25
bumps_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,bumps_scene_001,bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.5463687777519226,10,60,0,110,60,0,2,1,,10.067504687287952,0.33721739053726196,0.22795198692921553,320,861.2818660003541,26,25
bumps_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,bumps_scene_001,bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5463687777519226,10,60,0,110,60,0,2,1,,10.067504687287952,0.16413138806819916,0.12143935768780766,330,875.4483900002015,26,25
bumps_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,bumps_scene_001,bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5463687777519226,10,60,0,110,60,0,2,1,,10.067504687287952,0.20170697569847107,0.15015831295017357,351,1025.057709000066,26,25
pits_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,pits_scene_003,pits,urban_small,proposed_ml_risk_constrained_astar,main,0.43905091285705566,10,60,0,110,60,0,2,1,,10.097475326473841,0.37811535596847534,0.23900018676389617,631,1129.849060000197,26,25
slope_bumps_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_002,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5524070858955383,10,60,0,110,60,0,2,1,,10.12573632923712,0.48666441440582275,0.3073160140531746,327,788.0820810005389,26,25
pits_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,pits_scene_003,pits,mountain_large,proposed_ml_risk_constrained_astar,main,0.43905091285705566,10,60,0,110,60,0,2,1,,10.097475326473841,0.24158737063407898,0.14501754898406322,595,1551.9934679996368,26,25
mixed_random_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,mixed_random_scene_001,mixed_random,urban_small,proposed_ml_risk_constrained_astar,main,0.5139934420585632,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,5.970717999844055,0,0
mixed_random_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,mixed_random_scene_001,mixed_random,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5139934420585632,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,7.781968999552191,0,0
mixed_random_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,mixed_random_scene_001,mixed_random,mountain_large,proposed_ml_risk_constrained_astar,main,0.5139934420585632,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,6.220685999323905,0,0
pits_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,pits_scene_003,pits,standard_offroad,proposed_ml_risk_constrained_astar,main,0.43905091285705566,10,60,0,110,60,0,2,1,,10.097475326473841,0.28311556577682495,0.1692453154241668,621,1581.37993299988,26,25
slope_bumps_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_001,slope_bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.57723468542099,10,60,0,110,60,0,2,1,,10.583413306472918,0.5284193754196167,0.47295079175962224,675,1422.2501260001081,26,25
slope_bumps_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_001,slope_bumps,standard_offroad,proposed_ml_risk_constrained_astar,main,0.57723468542099,10,60,0,110,60,0,2,1,,10.494730878725575,0.5388785004615784,0.4542761820002343,657,1628.8849210004628,26,25
slope_bumps_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_001,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.57723468542099,10,60,0,110,60,0,2,1,,10.462163942627136,0.5484732389450073,0.42339343498527415,890,1720.628293000118,26,25
slope_bumps_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_003,slope_bumps,mountain_large,proposed_ml_risk_constrained_astar,main,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.4776650369167328,0.3527174673181627,1024,1610.6025870003577,26,25
slope_bumps_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,slope_bumps_scene_003,slope_bumps,urban_small,proposed_ml_risk_constrained_astar,main,0.5350304841995239,10,60,0,110,60,0,2,1,,10.209758550723139,0.48082226514816284,0.4077572831847953,972,1724.369179999485,26,25
