run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,25,57.52659399968252,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0068072788417339325,0.0068072788417339325,25,58.22021799940558,26,25
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,25,57.30377599957137,26,25
flat_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.010883597657084465,0.010883597657084465,25,58.70401199990738,26,25
flat_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.006857235450297594,0.006857235450297594,25,56.48877800012997,26,25
flat_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_002,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5277105569839478,10,60,0,110,60,0,2,1,,10.000000149011612,0.005312595050781965,0.005312595050781965,25,56.01817899969319,26,25
uniform_slope_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5374373197555542,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.6698109995777486,0,0
uniform_slope_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5374373197555542,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,3.0641599996670266,0,0
uniform_slope_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5374373197555542,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.611088999401545,0,0
uniform_slope_scene_002__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.648011999554001,0,0
uniform_slope_scene_002__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.520381000067573,0,0
uniform_slope_scene_002__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_002,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.7335055470466614,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.645667999786383,0,0
uniform_slope_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.5423260003663017,0,0
flat_scene_003__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.010816257447004318,0.010816257447004318,25,58.08911099938996,26,25
uniform_slope_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.802031000101124,0,0
uniform_slope_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_003,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5546505451202393,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,4.337751000093704,0,0
lateral_slope_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.7277160006633494,0,0
lateral_slope_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,2.74003799950151,0,0
flat_scene_003__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.006777577567845583,0.006777577567845583,25,62.261721000140824,26,25
flat_scene_003__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_003,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5756480097770691,10,60,0,110,60,0,2,1,,10.000000149011612,0.0052367509342730045,0.0052367509342730045,25,61.05351599944697,26,25
lateral_slope_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,lateral_slope_scene_001,lateral_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5259882807731628,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,1,3.544287999829976,0,0
