run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__urban_small__baseline1_2p5d_astar__none,flat_scene_001,flat,urban_small,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.5781469999419642,26,25
flat_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,15.880667999681464,26,25
flat_scene_001__standard_offroad__baseline1_2p5d_astar__none,flat_scene_001,flat,standard_offroad,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.5485080000653397,26,25
flat_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,15.92393600003561,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,25,51.36445900006947,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.008954668417572975,0.008954668417572975,25,44.545441000082064,26,25
flat_scene_001__mountain_large__baseline1_2p5d_astar__none,flat_scene_001,flat,mountain_large,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.42751499995574704,26,25
flat_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,mountain_large,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,16.101515000173094,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0068072788417339325,0.0068072788417339325,25,50.159103000169125,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005194608587771654,0.005194608587771654,25,43.332572000053915,26,25
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,25,50.708083999779774,26,25
flat_scene_001__mountain_large__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0036227006930857897,0.0036227006930857897,25,43.96196199968472,26,25
uniform_slope_scene_001__urban_small__baseline1_2p5d_astar__none,uniform_slope_scene_001,uniform_slope,urban_small,baseline1_2p5d_astar,none,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.0,0.0,172,2.3754989997541998,26,25
flat_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0068072788417339325,0.0068072788417339325,118,236.9478120003805,26,25
flat_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,standard_offroad,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005194608587771654,0.005194608587771654,93,159.47124300009818,26,25
flat_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,mountain_large,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005265059415251017,0.005265059415251017,95,194.8845590000019,26,25
flat_scene_001__mountain_large__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,mountain_large,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0036227006930857897,0.0036227006930857897,65,116.00207399987994,26,25
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,199,388.35720699989906,26,25
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.008954668417572975,0.008954668417572975,163,276.6757399999733,26,25
uniform_slope_scene_001__standard_offroad__baseline1_2p5d_astar__none,uniform_slope_scene_001,uniform_slope,standard_offroad,baseline1_2p5d_astar,none,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.0,0.0,172,2.3139159998208925,26,25
uniform_slope_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,main,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.47801023721694946,0.35596453789372284,363,378.84212000017214,26,25
uniform_slope_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,uniform_slope_scene_001,uniform_slope,urban_small,proposed_ml_risk_constrained_astar,compare,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.46247196197509766,0.34919824531297106,347,321.19157399984033,26,25
uniform_slope_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,uniform_slope_scene_001,uniform_slope,urban_small,baseline2_manual_risk_weighted_astar,none,0.5270546078681946,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,7209.678409999924,0,0
uniform_slope_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,uniform_slope_scene_001,uniform_slope,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5270546078681946,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,7194.372690000364,0,0
uniform_slope_scene_001__mountain_large__baseline1_2p5d_astar__none,uniform_slope_scene_001,uniform_slope,mountain_large,baseline1_2p5d_astar,none,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.0,0.0,172,2.332677000140393,26,25
uniform_slope_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.4529217481613159,0.28349582845880184,393,369.0144780002811,26,25
uniform_slope_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__compare,uniform_slope_scene_001,uniform_slope,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.4778817594051361,0.27810359464197437,351,323.0855699998756,26,25
uniform_slope_scene_001__mountain_large__baseline2_manual_risk_weighted_astar__none,uniform_slope_scene_001,uniform_slope,mountain_large,baseline2_manual_risk_weighted_astar,none,0.5270546078681946,10,60,0,110,60,0,2,0,max_expansions_or_no_path,nan,nan,nan,12001,7222.929500000191,0,0
uniform_slope_scene_001__mountain_large__proposed_ml_risk_constrained_astar__main,uniform_slope_scene_001,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,main,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.44157081842422485,0.254747919795034,348,360.8035990000644,26,25
uniform_slope_scene_001__mountain_large__proposed_ml_risk_constrained_astar__compare,uniform_slope_scene_001,uniform_slope,mountain_large,proposed_ml_risk_constrained_astar,compare,0.5270546078681946,10,60,0,110,60,0,2,1,,10.080143273289533,0.46361348032951355,0.25346668717957727,330,312.00475599962374,26,25
