run_id,scene_id,terrain_class,vehicle_id,method,model_tag,friction_mu,start_i,start_j,start_k,goal_i,goal_j,goal_k,goal_radius_cells,found,fail_reason,path_length_m,risk_max,risk_avg,expanded_nodes,planning_time_ms,num_states,num_actions
flat_scene_001__standard_offroad__baseline1_2p5d_astar__none,flat_scene_001,flat,standard_offroad,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,1.1504899957799353,26,25
flat_scene_001__standard_offroad__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,standard_offroad,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,1813.4326709987363,26,25
flat_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,standard_offroad,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.006807275116443634,0.006807275116443634,118,63578.02146400354,26,25
flat_scene_001__standard_offroad__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,standard_offroad,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005194608587771654,0.005194608587771654,93,34943.44243199885,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.006807275116443634,0.006807275116443634,25,12604.998054004682,26,25
flat_scene_001__standard_offroad__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,standard_offroad,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.005194608587771654,0.005194608587771654,25,8516.305782999552,26,25
flat_scene_001__urban_small__baseline1_2p5d_astar__none,flat_scene_001,flat,urban_small,baseline1_2p5d_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,0.975859999016393,26,25
flat_scene_001__urban_small__baseline2_manual_risk_weighted_astar__none,flat_scene_001,flat,urban_small,baseline2_manual_risk_weighted_astar,none,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.0,0.0,25,1813.3502220007358,26,25
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__main,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,199,98135.00693099923,26,25
flat_scene_001__urban_small__baseline3_ml_risk_weighted_astar__compare,flat_scene_001,flat,urban_small,baseline3_ml_risk_weighted_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.008954668417572975,0.008954668417572975,163,31256.201983997016,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__main,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,main,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.010841457173228264,0.010841457173228264,25,2517.6206219985033,26,25
flat_scene_001__urban_small__proposed_ml_risk_constrained_astar__compare,flat_scene_001,flat,urban_small,proposed_ml_risk_constrained_astar,compare,0.5576750040054321,10,60,0,110,60,0,2,1,,10.000000149011612,0.008954668417572975,0.008954668417572975,25,2086.6618170039146,26,25
